date,symbol,marketcapname,sector
19-04-2017,HITECHCORP,Smallcap,Services
19-04-2017,IVZINGOLD,Smallcap,Indices
19-04-2017,LICMFGOLD,Smallcap,Indices
20-04-2017,UMANGDAIRY,Smallcap,FMCG
20-04-2017,MANGLMCEM,Smallcap,Industrials
20-04-2017,SANGAMIND,Smallcap,Textiles
20-04-2017,IGARASHI,Smallcap,FMCG
20-04-2017,TASTYBITE,Smallcap,FMCG
20-04-2017,JAYBARMARU,Smallcap,Auto
20-04-2017,KITEX,Smallcap,FMCG
20-04-2017,MENONBE,Smallcap,Auto
20-04-2017,BALPHARMA,Smallcap,Pharmaceuticals
20-04-2017,INDIACEM,Midcap,Industrials
20-04-2017,PRIVISCL,Midcap,Industrials
21-04-2017,WENDT,Smallcap,FMCG
21-04-2017,JAYBARMARU,Smallcap,Auto
21-04-2017,ASAL,Smallcap,Auto
21-04-2017,LIBERTSHOE,Smallcap,FMCG
21-04-2017,PANACEABIO,Smallcap,Pharmaceuticals
21-04-2017,RELIGARE,Midcap,Finance
21-04-2017,INDTERRAIN,Smallcap,Textiles
21-04-2017,LOVABLE,Smallcap,Textiles
21-04-2017,BROOKS,Smallcap,Pharmaceuticals
21-04-2017,RUPA,Smallcap,FMCG
24-04-2017,ESABINDIA,Midcap,FMCG
24-04-2017,KAKATCEM,Smallcap,Industrials
24-04-2017,HIRECT,Smallcap,FMCG
24-04-2017,SEMAC,Smallcap,Realty
24-04-2017,LUMAXIND,Smallcap,Auto
24-04-2017,PLASTIBLEN,Smallcap,Industrials
24-04-2017,JSWHL,Midcap,Finance
25-04-2017,SAGCEM,Smallcap,Industrials
25-04-2017,MUKTAARTS,Smallcap,Media
25-04-2017,BIOCON,Largecap,Pharmaceuticals
25-04-2017,LOKESHMACH,Smallcap,FMCG
25-04-2017,TIIL,Midcap,Metals
25-04-2017,INDIANB,Largecap,Bank
25-04-2017,WELINV,Smallcap,Finance
25-04-2017,INDTERRAIN,Smallcap,Textiles
26-04-2017,SWARAJENG,Smallcap,FMCG
26-04-2017,NUCLEUS,Smallcap,I.T
26-04-2017,HATSUN,Largecap,FMCG
26-04-2017,WELINV,Smallcap,Finance
27-04-2017,SPLPETRO,Midcap,Oils
27-04-2017,WILLAMAGOR,Smallcap,Finance
27-04-2017,SASKEN,Smallcap,I.T
27-04-2017,UFO,Smallcap,Media
28-04-2017,PSUBANK,Smallcap,Indices
28-04-2017,FEDERALBNK,Largecap,Bank
